Id,SalePrice
1461,127605.16776837659
1462,162028.5010768666
1463,184372.3193310282
1464,192742.58548467403
1465,189159.4326901061
1466,174301.74972993715
1467,178772.8102658169
1468,168687.9331693941
1469,177253.3697227862
1470,126766.89355562892
1471,199706.02889885104
1472,93197.3067852959
1473,95957.87989495674
1474,150828.3803772727
1475,113516.510964301
1476,382675.6764028338
1477,257729.54832318187
1478,290316.6594397618
1479,267577.363742288
1480,526617.3555106982
1481,320467.34408348124
1482,204704.7658464329
1483,163714.81997693834
1484,165204.05693825497
1485,179969.51180565293
1486,194754.4487672165
1487,315776.3950478389
1488,232010.65356883494
1489,207401.403922052
1490,233116.38367636784
1491,190184.75237235814
1492,87955.90958972763
1493,188775.6935071042
1494,281146.3304042628
1495,279987.2878462399
1496,242714.44157852963
1497,178949.3211851038
1498,160442.47162539538
1499,159036.18650677346
1500,156039.66299872665
1501,177644.45809360035
1502,145600.8949976946
1503,314586.57747808186
1504,237919.59414786022
1505,229211.52691188498
1506,185307.41783289847
1507,252614.72590742915
1508,192397.29445455858
1509,164351.8138672241
1510,145052.07853139215
1511,142868.06644719536
1512,169437.12111355594
1513,154215.7258112487
1514,164466.63993529446
1515,193405.0589469909
1516,143047.84032993665
1517,163892.43740191733
1518,128768.27307893329
1519,227487.17350489207
1520,136043.52197314252
1521,136315.0257134174
1522,158343.98828745066
1523,114233.49656650334
1524,120505.40613715071
1525,117314.2263786151
1526,115302.67228390809
1527,101048.05634011487
1528,133474.46945793624
1529,154258.76959467563
1530,174552.69709950688
1531,97693.41519835455
1532,91019.13478313417
1533,151868.6129748504
1534,122923.7478291913
1535,150585.3931335548
1536,102868.16510828168
1537,70800.37470247805
1538,157339.14846169436
1539,199792.8618048269
1540,97939.61566007468
1541,148569.04395737377
1542,142988.9003081772
1543,217712.67553608035
1544,78573.40614139856
1545,115110.05378401322
1546,131818.43625038667
1547,137689.21244414488
1548,141681.95049207011
1549,119673.81317115597
1550,144092.60006093016
1551,111230.42143193613
1552,137846.70539357
1553,156364.85523252148
1554,108533.23438624851
1555,168623.7557726812
1556,77056.506493755
1557,104000.6849474003
1558,98263.07252011565
1559,91275.15145598141
1560,128156.88954555782
1561,136743.9419008251
1562,125892.91722927363
1563,121339.04582365349
1564,152850.2640492552
1565,146401.9635841951
1566,240544.11770333193
1567,72423.57595655606
1568,218324.7545174662
1569,140204.58531633354
1570,135410.55433499423
1571,111174.50775520236
1572,148098.46952424062
1573,249001.8893921223
1574,113505.88700945873
1575,227526.55301604152
1576,239519.34175486356
1577,195338.37883973084
1578,142382.59645715603
1579,147447.63906630198
1580,191640.0673524742
1581,152169.31378755753
1582,126429.02523968692
1583,316183.85200718546
1584,225513.79021712395
1585,140812.09104457896
1586,67812.78457312754
1587,97388.50488060684
1588,154608.78373579375
1589,93719.97358092784
1590,135686.93072356653
1591,94373.69095415979
1592,117016.55851967755
1593,127817.78160184226
1594,135289.92318623792
1595,120320.67417411265
1596,244508.80237308264
1597,186626.3186791606
1598,197622.69219403615
1599,170358.9141910344
1600,163183.07657140368
1601,60327.148106155626
1602,116520.05706555658
1603,86926.9716448176
1604,278079.8885280379
1605,244333.06474688384
1606,171298.71946895725
1607,152283.24660654907
1608,207863.93500318407
1609,187939.48025529538
1610,150346.20058477263
1611,139722.78595702324
1612,167061.9820723097
1613,160923.29649215867
1614,124049.43699246463
1615,93557.383747326
1616,71862.96012447016
1617,94499.99734522008
1618,124316.42151728341
1619,144595.97096615285
1620,175729.57007285606
1621,140165.91360496136
1622,138717.64111523665
1623,280919.6067926203
1624,209210.3007647605
1625,125020.79819600961
1626,153371.56244698062
1627,192310.98781183167
1628,277195.5268851754
1629,175841.8390629192
1630,386618.77766185754
1631,227076.26155541063
1632,248089.89173475478
1633,169629.49536780763
1634,190947.19690193603
1635,177804.54152533787
1636,156182.66314719702
1637,194385.81770413485
